Address,Size,LotSize,YearBuilt,Image
"828 51st St,
Brooklyn, NY, 11220",N/A,"3,500sqft lot",1920,https://ap.rdcpix.com/9e888232359e56f61e8d08d75087eee6l-m712815665od-w1024_h768.jpg
"824 51st St,
Brooklyn, NY, 11220","2,106sqft","2,504sqft lot",1920,https://ap.rdcpix.com/61cbba422dfe3716c79cba385a203fe3l-m712815665od-w1024_h768.jpg
"863 50th St Apt 3B,
Brooklyn, NY, 11220",872sqft,N/A,2005,https://ap.rdcpix.com/8f87644748706cb3ee1a38d86f88f2b8l-m1703796395od-w1024_h768.jpg
"670 44th St,
Brooklyn, NY, 11220","2,964sqft","2,003sqft lot",1910,https://ap.rdcpix.com/1e27518fd4e65a8eb8fade85cfa3c1del-m3904861281od-w1024_h768.jpg
"824-828 51 St,
Brooklyn, NY, 11220",N/A,"6,010sqft lot",N/A,https://ap.rdcpix.com/3e21d462d75b18f9cb67bcdca25b3046l-m224267693od-w1024_h768.jpg
"665 50th St,
Brooklyn, NY, 11220",N/A,"2,000sqft lot",N/A,https://ap.rdcpix.com/1105b6eba76d700cdab6f779727ee59el-m2761614640od-w1024_h768.jpg
"355 50th St,
Brooklyn, NY, 11220",N/A,"2,000sqft lot",1910,https://ap.rdcpix.com/03d1ce687652059eb3c3a14ceb5636a6l-m3612008581od-w1024_h768.jpg
"4617 7th Ave,
Brooklyn, NY, 11220","2,400sqft","2,000sqft lot",1920,https://ap.rdcpix.com/4079177515a127ee971e4419c672c759l-m2650329312od-w1024_h768.jpg
"4006 7th Ave Apt 17,
Brooklyn, NY, 11232",650sqft,N/A,1925,https://ap.rdcpix.com/387d288809c8f273afed166b9b786b23l-m4020890114od-w1024_h768.jpg
"659 41st St Apt 3A,
Brooklyn, NY, 11232",N/A,N/A,1925,https://ap.rdcpix.com/f130c33b84c5e30cd5730963096b4d2el-m782949636od-w1024_h768.jpg
"453 63rd St,
Brooklyn, NY, 11220","3,169sqft","2,000sqft lot",1910,https://ap.rdcpix.com/7bb359f2f7d4151dd7b553b470c6e8f4l-m558235933od-w1024_h768.jpg
"272 61st St,
Brooklyn, NY, 11220","2,188sqft","2,000sqft lot",N/A,https://ap.rdcpix.com/b7905e5d2ce1a3879c10be91ad64e25al-m4236584591od-w1024_h768.jpg
"745 57th St,
Brooklyn, NY, 11220","1,934sqft","2,003sqft lot",1930,https://ap.rdcpix.com/86b261b1947b6d690c22f2337065857bl-m4171568245od-w1024_h768.jpg
"4205 7th Ave,
Brooklyn, NY, 11232","2,900sqft","1,600sqft lot",N/A,https://ap.rdcpix.com/7905878f10ea242e290b70458e709c41l-m1519014999od-w1024_h768.jpg
"873 48th St,
Brooklyn, NY, 11220","2,560sqft","2,955sqft lot",1925,https://ap.rdcpix.com/4c684e8370f9f3fb397300dac337246el-m1269411613od-w1024_h768.jpg
"524 52nd St,
Brooklyn, NY, 11220","2,700sqft","2,003sqft lot",1910,https://ap.rdcpix.com/0833f2695e8885198c2db5e4b4abfd93l-m1013444016od-w1024_h768.jpg
"617 59th St,
Brooklyn, NY, 11220","2,200sqft","2,003sqft lot",1935,https://ap.rdcpix.com/c043bce7cbfb118d9f9c8060ce473782l-m811830446od-w1024_h768.jpg
"531 52nd St Apt 3C,
Brooklyn, NY, 11220",851sqft,N/A,2008,https://ap.rdcpix.com/37a13da8ba28b6dd4c84d7f705c9e0dbl-m398726706od-w1024_h768.jpg
"433 56th St,
Brooklyn, NY, 11220",N/A,"2,033sqft lot",1901,https://ap.rdcpix.com/887cf91ae61e3ec24490bdaa8158caf2l-m2750359360od-w1024_h768.jpg
"882 58th St,
Brooklyn, NY, 11220","2,916sqft","2,003sqft lot",1925,https://ap.rdcpix.com/a69c33f967d26ea0c4ba707641537e21l-m1488441035od-w1024_h768.jpg
"414 57th St,
Brooklyn, NY, 11220",N/A,N/A,1900,https://ap.rdcpix.com/cf2d4940ea8300b6a2dffc17aca2570al-m1087023574od-w1024_h768.jpg
"346 58th St,
Brooklyn, NY, 11220","2,550sqft","1,803sqft lot",1915,https://ap.rdcpix.com/a56440711b4fa8b9f60bd5aa2ebf76ebl-m2187609724od-w1024_h768.jpg
"639 51st St,
Brooklyn, NY, 11220","1,755sqft","1,700sqft lot",1925,https://ap.rdcpix.com/4ba6b753b94c80d5824ed3327e60f1c4l-m1007321360od-w1024_h768.jpg
"4404 Sixth Ave Unit 3D,
Brooklyn, NY, 11220",800sqft,N/A,1914,https://ap.rdcpix.com/4631bcf9b71041581ed5c9260f2ac1a0l-m1646333976od-w1024_h768.jpg
"718 49th St,
Brooklyn, NY, 11220",N/A,"2,003sqft lot",N/A,https://ap.rdcpix.com/d2f32f6e2e4f48fb17afeb5ee8305eb0l-m962013505od-w1024_h768.jpg
"4401 Fourth Ave Unit B2,
Brooklyn, NY, 11220",940sqft,N/A,N/A,https://ap.rdcpix.com/2d50132f105a65e7da3a2832fb441ddel-m3708540400od-w1024_h768.jpg
"5412 6th Ave,
Brooklyn, NY, 11220","2,852sqft",N/A,1910,https://ap.rdcpix.com/6c76a1df44f2b045dd959fdafce4933fl-m4114504931od-w1024_h768.jpg
"621 59th St,
Brooklyn, NY, 11220","2,200sqft","2,003sqft lot",1935,https://ap.rdcpix.com/ed5daec296e6897728583e3edfa0c73el-m811830446od-w1024_h768.jpg
"5002 4th Ave,
Brooklyn, NY, 11220",N/A,N/A,1921,https://ap.rdcpix.com/d9be1211a43d73df9c338e4ba173b38fl-m1612179768od-w1024_h768.jpg
"559 50th St,
Brooklyn, NY, 11220",N/A,100acre lot,N/A,https://ap.rdcpix.com/bbe02dee03a52da7cb4b50f4d03b7bbal-m1405585854od-w1024_h768.jpg
"635 59th St,
Brooklyn, NY, 11220",N/A,"2,003sqft lot",1935,https://ap.rdcpix.com/4fcbda6775db63b701d332c5d55b3430l-m3727460216od-w1024_h768.jpg
"430-432 39 St,
Brooklyn, NY, 11232",N/A,"5,000sqft lot",N/A,https://ap.rdcpix.com/0278290862c48b4335f5e2f35eaae06cl-m3233774971od-w1024_h768.jpg
"531 52nd St Apt 1A,
Brooklyn, NY, 11220",924sqft,N/A,2008,https://ap.rdcpix.com/35f66b1752ad1000f9e88f0b3ca29650l-m3740985807od-w1024_h768.jpg
"6108 7th Ave,
Brooklyn, NY, 11220","3,300sqft","1,500sqft lot",1915,https://ap.rdcpix.com/4aa9ec0d0fff11b13783383a98c5a72al-m4063660088od-w1024_h768.jpg
"446 52nd St,
Brooklyn, NY, 11220",N/A,"2,003sqft lot",1920,https://ap.rdcpix.com/2ac1733210d5460ad5cd00e114527048l-m1762376547od-w1024_h768.jpg
"568 54th St,
Brooklyn, NY, 11220","3,012sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/5d69c06afa03128b34af3b4cafd12616l-m2213948078od-w1024_h768.jpg
"702 45th St Apt 4H,
Brooklyn, NY, 11220",700sqft,N/A,N/A,https://ap.rdcpix.com/a0aa332ac240f3636e746de6c698c8f8l-m2758765573od-w1024_h768.jpg
"458 57th St,
Brooklyn, NY, 11220","2,355sqft",N/A,1910,https://ap.rdcpix.com/8854d2d880fe9b40a9a2e12d98728ae5l-w2080511203od-w1024_h768.jpg
"4407 4th Ave Apt B4,
Brooklyn, NY, 11220",N/A,N/A,1906,https://ap.rdcpix.com/e5cef56a096ff600761ab4b501ed9211l-m1780557948od-w1024_h768.jpg
"338 58th St Apt 2,
Brooklyn, NY, 11220",N/A,"1,101sqft lot",2007,https://ap.rdcpix.com/fb9138972840a0eb9150831ce0b87d71l-m3385297343od-w1024_h768.jpg
"332 55th St,
Brooklyn, NY, 11220","1,654sqft","3,756sqft lot",1920,https://ap.rdcpix.com/bed060adf554adfa19fcd1f564a326e0l-m570794319od-w1024_h768.jpg
"4401 4th Ave Apt C1,
Brooklyn, NY, 11220",N/A,N/A,1912,https://ap.rdcpix.com/93e23f5413560048c640cc79e1d5dad2l-m2979415044od-w1024_h768.jpg
"459 47th St,
Brooklyn, NY, 11220",N/A,"2,003sqft lot",1899,https://ap.rdcpix.com/a5f7dc0f9c713ef86ed802db39a533d2l-m204801237od-w1024_h768.jpg
"629 51st St Apt 2C,
Brooklyn, NY, 11220",490sqft,N/A,2008,https://ap.rdcpix.com/1416716008d4bcedf82fb490e1aa918bl-m2815681098od-w1024_h768.jpg
"643 47th St,
Brooklyn, NY, 11220","1,812sqft","1,800sqft lot",1910,https://ap.rdcpix.com/3b0e78ffb150f6f7094cb27286cec0afl-m1331472937od-w1024_h768.jpg
"761 48th St,
Brooklyn, NY, 11220",N/A,"2,003sqft lot",N/A,https://ap.rdcpix.com/af0ff5083f1e02a11ba3ea600e86b838l-m586772396od-w1024_h768.jpg
"531 41st St Apt A10,
Brooklyn, NY, 11232",425sqft,N/A,1927,https://ap.rdcpix.com/e87377e73cf51e9dc7026e1d42da4098l-m3914572410od-w1024_h768.jpg
"232 53rd St,
Brooklyn, NY, 11220","2,472sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/483e13d926473a9b225b3bc425969c8el-m2778296833od-w1024_h768.jpg
"5418 3rd Ave Apt 3A,
Brooklyn, NY, 11220",678sqft,N/A,2012,https://ap.rdcpix.com/a3d93850de746ad47d9b7ebb7e3e6f25l-m1506504279od-w1024_h768.jpg
"725 48th St,
Brooklyn, NY, 11220","2,272sqft","2,003sqft lot",1930,https://ap.rdcpix.com/cce067a96b4dba4b81af0ec7fe08e886l-m3435520665od-w1024_h768.jpg
"716 51st St,
Brooklyn, NY, 11220","1,740sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/0845ae568728dcf9a3f65bc557948829l-m794642674od-w1024_h768.jpg
"5117 7th Ave,
Brooklyn, NY, 11220","3,835sqft","2,000sqft lot",1909,https://ap.rdcpix.com/ea199612b853fb8d6c9d6e1fc4764071l-m2477239448od-w1024_h768.jpg
"338 45th St,
Brooklyn, NY, 11220",N/A,"2,003sqft lot",1901,https://ap.rdcpix.com/53e7d9b3a9bdcdab1445840ccc107bdel-m3958583820od-w1024_h768.jpg
"420 64th St Apt 7E,
Brooklyn, NY, 11220",640sqft,N/A,1990,https://ap.rdcpix.com/43636bd031c71564f9b41ff64bb733a3l-m4041390805od-w1024_h768.jpg
"237 60th St,
Brooklyn, NY, 11220","2,532sqft","2,003sqft lot",1910,https://ap.rdcpix.com/496e375ee561d0b1fea983fafff4ef42l-m2458255060od-w1024_h768.jpg
"570 44th St Apt 3,
Brooklyn, NY, 11220",N/A,N/A,1914,https://ap.rdcpix.com/2a7b571f612949fb117f49571587948cl-m1419956113od-w1024_h768.jpg
"273 61st St,
Brooklyn, NY, 11220","3,480sqft","1,762sqft lot",1910,https://ap.rdcpix.com/42f113dd941c3f989be09acede0f02c1l-m1542962061od-w1024_h768.jpg
"555 39th St,
Brooklyn, NY, 11232",N/A,"2,504sqft lot",1924,https://ap.rdcpix.com/22838fb5e53c50561911e6fecbbd11d9l-m3127352999od-w1024_h768.jpg
"702 45th St Apt 3J,
Brooklyn, NY, 11220",800sqft,N/A,1924,https://ap.rdcpix.com/f3502df99f5d1f8c66f7c593b5504cfel-m179205141od-w1024_h768.jpg
"5418 3rd Ave Unit 5A,
Brooklyn, NY, 11220",799sqft,N/A,2013,https://ap.rdcpix.com/294573231a8893deeb39534b2a68c93bl-m974486801od-w1024_h768.jpg
"628 48th St,
Brooklyn, NY, 11220",N/A,"2,000sqft lot",N/A,https://ap.rdcpix.com/3e5772d0fb07aaab84cd0e8f2d5d4b7el-m2326082807od-w1024_h768.jpg
"540 62nd St,
Brooklyn, NY, 11220","2,200sqft","2,000sqft lot",1901,https://ap.rdcpix.com/db8709d53e2681df3d31c38bfe70601al-m3000678991od-w1024_h768.jpg
"434 43rd St,
Brooklyn, NY, 11232","3,072sqft",N/A,1901,https://ap.rdcpix.com/9f9e1363217e7cac80fd57b70e2c4649l-m2912412340od-w1024_h768.jpg
"522 58th St,
Brooklyn, NY, 11220","2,736sqft","2,003sqft lot",1899,https://ap.rdcpix.com/7870ab12d658b842efb899f6fdf02bdbl-m4273660314od-w1024_h768.jpg
"4317 8th Ave,
Brooklyn, NY, 11232","19,104sqft","6,000sqft lot",1935,https://ap.rdcpix.com/7d9286c59705931e5b0ebf64ab5ce85cl-m325172023od-w1024_h768.jpg
"652 39th St,
Brooklyn, NY, 11232",N/A,"2,500sqft lot",N/A,https://ap.rdcpix.com/55009371112f7e917ca0ef46535f7704l-m2693740212od-w1024_h768.jpg
"683 41st St Apt 18,
New York, NY, 11232",500sqft,N/A,N/A,https://ap.rdcpix.com/6b86556b9d52328fcd377b9b94efca6cl-m1789864981od-w1024_h768.jpg
"574 44th St Apt 3B,
Brooklyn, NY, 11220",800sqft,N/A,N/A,https://ap.rdcpix.com/9f6eb72ddc090e12a4ab8ad776862b19l-m3423309655od-w1024_h768.jpg
"4301 4th Ave,
New York, NY, 11232","4,875sqft",N/A,N/A,https://ap.rdcpix.com/f5cb6b168d9dbbbfe6afcf518bd6efb9l-m615772354od-w1024_h768.jpg
"628 60th St,
Brooklyn, NY, 11220","4,800sqft","2,000sqft lot",1915,https://ap.rdcpix.com/a6ed8722476eeaa4f11bfae423cee579l-m665289370od-w1024_h768.jpg
